order_id,customer_id,item_id,plant,order_date,requested_ship_date,promised_ship_date,order_priority,order_qty,current_available_qty,historical_lead_time_days,supplier_reliability_score,num_open_orders_customer,past_due_invoices_flag,weekday_ordered,month_ordered,late_flag
O100040,C0176,ITEM0120,PLANT_C,2024-03-01,2024-03-08,2024-03-07,2,92,38,5.9,0.86,6,1,4,3,0
O100041,C0082,ITEM0184,PLANT_A,2024-10-03,2024-10-07,2024-10-09,2,403,569,5.6,1.0,1,0,3,10,1
O100042,C0200,ITEM0075,PLANT_B,2024-09-12,2024-09-19,2024-09-18,1,340,407,5.8,0.89,2,0,3,9,1
O100043,C0282,ITEM0168,PLANT_C,2024-05-09,2024-05-15,2024-05-14,2,488,576,5.3,0.99,15,0,3,5,0
O100044,C0405,ITEM0108,PLANT_B,2024-01-25,2024-01-31,2024-02-01,2,469,395,7.5,0.92,15,0,3,1,1
O100045,C0185,ITEM0176,PLANT_A,2024-12-20,2024-12-27,2024-12-27,3,182,141,6.7,0.8,2,1,4,12,1
O100046,C0386,ITEM0094,PLANT_B,2024-06-11,2024-06-19,2024-06-18,3,231,459,7.1,0.75,11,1,1,6,0
O100047,C0314,ITEM0126,PLANT_A,2024-11-21,2024-12-01,2024-12-03,1,424,533,11.7,0.85,7,0,3,11,1
O100048,C0146,ITEM0065,PLANT_A,2024-09-04,2024-09-10,2024-09-11,1,2,0,6.7,1.0,14,1,2,9,1
O100049,C0457,ITEM0128,PLANT_A,2024-10-11,2024-10-21,2024-10-19,2,432,504,8.2,0.92,12,1,4,10,0
O100050,C0218,ITEM0066,PLANT_C,2024-10-04,2024-10-11,2024-10-12,2,84,193,8.4,0.98,16,1,4,10,0
O100051,C0076,ITEM0122,PLANT_B,2024-03-12,2024-03-20,2024-03-19,2,131,329,6.9,0.79,12,1,1,3,1
O100052,C0482,ITEM0158,PLANT_A,2024-05-12,2024-05-18,2024-05-20,2,241,467,7.5,0.87,4,0,6,5,0
O100053,C0457,ITEM0087,PLANT_A,2024-06-19,2024-06-26,2024-06-26,2,352,478,7.0,0.96,13,1,2,6,1
O100054,C0025,ITEM0086,PLANT_B,2024-06-30,2024-07-08,2024-07-07,3,177,0,7.4,0.81,16,0,6,6,1
O100055,C0452,ITEM0065,PLANT_C,2024-01-16,2024-01-18,2024-01-22,2,469,517,5.8,0.89,19,0,1,1,0
O100056,C0474,ITEM0147,PLANT_A,2024-07-18,2024-07-23,2024-07-24,1,391,294,6.0,0.83,14,0,3,7,1
O100057,C0415,ITEM0119,PLANT_A,2024-02-26,2024-03-05,2024-03-04,2,370,179,7.0,0.97,8,0,0,2,1
O100058,C0128,ITEM0104,PLANT_C,2024-09-28,2024-10-01,2024-10-01,2,386,647,3.1,0.93,10,0,5,9,0
O100059,C0316,ITEM0006,PLANT_C,2024-09-06,2024-09-15,2024-09-16,2,15,0,10.0,0.95,3,0,4,9,1
O100060,C0270,ITEM0023,PLANT_C,2024-12-02,2024-12-12,2024-12-13,2,411,333,11.3,0.97,13,0,0,12,1
O100061,C0311,ITEM0002,PLANT_A,2024-09-28,2024-10-06,2024-10-05,2,302,270,7.3,0.88,3,1,5,9,1
O100062,C0309,ITEM0171,PLANT_A,2024-05-13,2024-05-21,2024-05-21,3,93,125,8.3,0.98,5,1,0,5,1
O100063,C0320,ITEM0171,PLANT_A,2024-12-19,2024-12-29,2024-12-28,3,389,489,9.2,0.85,10,1,3,12,0
O100064,C0258,ITEM0014,PLANT_A,2024-05-29,2024-06-03,2024-06-02,2,53,8,4.4,0.95,10,0,2,5,0
O100065,C0346,ITEM0010,PLANT_C,2024-04-28,2024-05-06,2024-05-07,1,309,505,8.9,0.74,8,0,6,4,1
O100066,C0264,ITEM0157,PLANT_A,2024-11-26,2024-12-04,2024-12-02,2,285,163,6.1,0.84,13,0,1,11,0
O100067,C0009,ITEM0105,PLANT_B,2024-05-15,2024-05-26,2024-05-27,2,15,294,11.6,1.0,18,0,2,5,1
O100068,C0018,ITEM0062,PLANT_C,2024-01-28,2024-02-05,2024-02-04,3,187,414,6.6,0.95,18,0,6,1,1
O100069,C0480,ITEM0123,PLANT_C,2024-06-20,2024-07-01,2024-06-29,2,60,159,8.8,0.95,10,0,3,6,1
O100070,C0455,ITEM0048,PLANT_B,2024-10-17,2024-10-25,2024-10-24,2,473,297,6.6,0.83,11,0,3,10,0
O100071,C0293,ITEM0040,PLANT_C,2024-03-10,2024-03-21,2024-03-21,3,401,565,11.4,0.81,9,1,6,3,0
O100072,C0088,ITEM0074,PLANT_A,2024-06-17,2024-06-27,2024-06-23,2,497,649,6.0,0.88,18,0,0,6,0
O100073,C0391,ITEM0180,PLANT_A,2024-02-17,2024-02-27,2024-02-26,2,244,354,9.3,0.89,17,0,5,2,1
O100074,C0072,ITEM0154,PLANT_A,2024-09-07,2024-09-16,2024-09-15,2,165,105,8.3,1.0,2,0,5,9,0
O100075,C0189,ITEM0039,PLANT_C,2024-06-22,2024-06-30,2024-06-30,2,479,494,7.8,0.98,16,0,5,6,0
O100076,C0165,ITEM0113,PLANT_C,2024-04-30,2024-05-06,2024-05-07,2,154,161,7.5,0.91,1,1,1,4,1
O100077,C0007,ITEM0177,PLANT_A,2024-03-23,2024-03-31,2024-03-29,3,208,312,5.7,0.91,14,0,5,3,1
O100078,C0404,ITEM0191,PLANT_A,2024-07-25,2024-07-26,2024-07-27,2,67,32,1.8,0.96,7,0,3,7,0
O100079,C0255,ITEM0153,PLANT_A,2024-09-01,2024-09-12,2024-09-10,2,411,411,9.1,0.79,11,0,6,9,0
O100080,C0159,ITEM0026,PLANT_A,2024-12-09,2024-12-17,2024-12-15,1,60,313,6.0,0.75,15,0,0,12,1
O100081,C0254,ITEM0049,PLANT_C,2024-06-08,2024-06-18,2024-06-17,1,18,44,9.3,0.96,5,0,5,6,0
O100082,C0001,ITEM0044,PLANT_A,2024-02-28,2024-03-06,2024-03-07,2,416,513,7.7,0.91,3,1,2,2,0
O100083,C0219,ITEM0031,PLANT_B,2024-10-30,2024-11-08,2024-11-08,3,420,675,9.4,0.8,11,1,2,10,1
O100084,C0260,ITEM0036,PLANT_B,2024-08-17,2024-08-22,2024-08-26,2,426,698,8.6,0.73,16,0,5,8,1
O100085,C0170,ITEM0064,PLANT_A,2024-09-12,2024-09-14,2024-09-14,2,429,510,2.1,0.97,3,1,3,9,1
O100086,C0416,ITEM0112,PLANT_A,2024-02-05,2024-02-14,2024-02-13,1,71,3,8.2,0.86,8,1,0,2,1
O100087,C0125,ITEM0080,PLANT_C,2024-04-24,2024-04-30,2024-04-30,2,181,31,6.3,0.93,11,0,2,4,1
O100088,C0069,ITEM0085,PLANT_B,2024-10-07,2024-10-15,2024-10-16,2,382,611,9.3,0.88,5,0,0,10,0
O100089,C0264,ITEM0050,PLANT_A,2024-10-30,2024-11-07,2024-11-07,3,155,216,8.2,0.9,17,1,2,10,0
O100090,C0444,ITEM0031,PLANT_A,2024-06-07,2024-06-17,2024-06-15,2,389,472,8.2,0.85,12,0,4,6,0
O100091,C0188,ITEM0200,PLANT_C,2024-10-20,2024-10-26,2024-10-26,3,455,731,6.5,0.89,10,0,6,10,0
O100092,C0024,ITEM0120,PLANT_C,2024-11-03,2024-11-11,2024-11-08,3,480,465,5.2,0.95,3,0,6,11,0
O100093,C0485,ITEM0046,PLANT_C,2024-05-21,2024-05-26,2024-05-27,2,389,239,6.1,0.88,2,0,1,5,1
O100094,C0223,ITEM0162,PLANT_B,2024-11-23,2024-11-27,2024-11-26,2,398,534,3.4,0.87,4,0,5,11,0
O100095,C0087,ITEM0167,PLANT_C,2024-04-15,2024-04-20,2024-04-21,3,299,584,5.8,0.95,1,0,0,4,1
O100096,C0308,ITEM0194,PLANT_A,2024-03-28,2024-04-04,2024-04-01,3,39,0,4.1,0.95,11,1,3,3,1
O100097,C0160,ITEM0032,PLANT_B,2024-09-06,2024-09-10,2024-09-10,2,218,511,4.1,0.81,17,0,4,9,0
O100098,C0469,ITEM0128,PLANT_A,2024-08-20,2024-08-30,2024-08-27,2,476,546,7.2,0.9,15,0,1,8,0
O100099,C0147,ITEM0197,PLANT_B,2024-02-21,2024-02-28,2024-02-29,2,456,536,8.1,0.86,5,0,2,2,1
O100100,C0276,ITEM0162,PLANT_C,2024-10-30,2024-11-08,2024-11-06,3,120,399,6.9,0.9,4,0,2,10,0
O100101,C0272,ITEM0046,PLANT_C,2024-03-13,2024-03-19,2024-03-19,3,373,339,6.0,1.0,10,0,2,3,1
O100102,C0122,ITEM0179,PLANT_B,2024-10-20,2024-10-26,2024-10-25,3,154,326,5.1,0.93,15,1,6,10,0
O100103,C0250,ITEM0085,PLANT_B,2024-01-03,2024-01-08,2024-01-09,1,209,13,6.4,1.0,15,0,2,1,0
O100104,C0055,ITEM0098,PLANT_C,2024-10-17,2024-10-23,2024-10-22,2,324,459,5.4,0.92,10,0,3,10,0
O100105,C0322,ITEM0112,PLANT_C,2024-10-14,2024-10-19,2024-10-21,3,248,55,6.9,0.89,5,0,0,10,1
O100106,C0380,ITEM0155,PLANT_B,2024-10-11,2024-10-15,2024-10-15,2,302,104,4.0,0.9,10,0,4,10,0
O100107,C0476,ITEM0025,PLANT_A,2024-08-30,2024-09-05,2024-09-07,3,50,44,8.4,0.91,15,0,4,8,1
O100108,C0163,ITEM0108,PLANT_A,2024-06-21,2024-06-27,2024-06-27,2,149,135,5.9,0.93,17,0,4,6,0
O100109,C0143,ITEM0164,PLANT_C,2024-09-14,2024-09-23,2024-09-22,3,405,596,7.8,0.82,2,0,5,9,0
O100110,C0275,ITEM0110,PLANT_B,2024-04-11,2024-04-21,2024-04-20,2,310,555,8.8,0.88,15,0,3,4,0
O100111,C0347,ITEM0055,PLANT_B,2024-10-11,2024-10-17,2024-10-19,1,421,692,7.7,0.84,15,1,4,10,1
O100112,C0497,ITEM0012,PLANT_B,2024-07-21,2024-07-27,2024-07-30,1,482,593,8.6,0.98,5,1,6,7,0
O100113,C0013,ITEM0110,PLANT_A,2024-06-16,2024-06-20,2024-06-19,3,178,55,2.9,0.75,2,0,6,6,1
O100114,C0120,ITEM0141,PLANT_A,2024-07-03,2024-07-11,2024-07-09,1,132,267,6.0,0.91,6,0,2,7,0
O100115,C0132,ITEM0110,PLANT_C,2024-07-26,2024-08-03,2024-08-04,3,155,198,9.2,0.78,6,0,4,7,1
O100116,C0128,ITEM0196,PLANT_A,2024-01-14,2024-01-25,2024-01-22,2,286,350,8.0,0.93,3,0,6,1,1
O100117,C0232,ITEM0121,PLANT_B,2024-02-21,2024-03-03,2024-03-03,2,126,176,10.7,0.87,5,0,2,2,0
O100118,C0437,ITEM0102,PLANT_B,2024-03-30,2024-04-06,2024-04-09,2,195,436,10.4,0.75,4,1,5,3,1
O100119,C0016,ITEM0012,PLANT_C,2024-02-11,2024-02-16,2024-02-19,3,87,77,7.6,0.98,17,0,6,2,1
O100120,C0408,ITEM0112,PLANT_A,2024-06-09,2024-06-17,2024-06-15,3,193,475,6.5,0.7,2,1,6,6,1
O100121,C0309,ITEM0034,PLANT_B,2024-08-31,2024-09-05,2024-09-05,3,473,542,5.1,0.9,11,0,5,8,0
O100122,C0308,ITEM0145,PLANT_A,2024-08-26,2024-09-03,2024-09-01,3,212,355,6.0,0.96,7,0,0,8,1
O100123,C0340,ITEM0033,PLANT_A,2024-06-20,2024-06-24,2024-06-26,2,379,641,6.2,1.0,17,0,3,6,0
O100124,C0058,ITEM0182,PLANT_A,2024-11-08,2024-11-14,2024-11-14,3,215,422,5.8,0.77,10,0,4,11,1
O100125,C0374,ITEM0061,PLANT_A,2024-07-25,2024-07-30,2024-07-30,2,217,236,5.2,0.86,12,1,3,7,0
O100126,C0125,ITEM0087,PLANT_C,2024-01-29,2024-02-06,2024-02-06,2,329,231,7.8,0.99,8,1,0,1,0
O100127,C0259,ITEM0029,PLANT_C,2024-10-06,2024-10-16,2024-10-16,2,55,0,10.4,0.99,16,0,6,10,1
O100128,C0339,ITEM0043,PLANT_A,2024-07-28,2024-08-05,2024-08-06,2,178,159,8.9,1.0,13,0,6,7,1
O100129,C0302,ITEM0185,PLANT_C,2024-08-19,2024-08-26,2024-08-25,3,70,202,6.4,1.0,11,0,0,8,0
O100130,C0162,ITEM0057,PLANT_B,2024-07-25,2024-08-03,2024-08-03,2,100,299,9.0,0.86,8,0,3,7,0
O100131,C0199,ITEM0103,PLANT_B,2024-07-21,2024-07-29,2024-07-29,3,355,170,7.7,0.93,9,1,6,7,1
O100132,C0239,ITEM0197,PLANT_C,2024-02-03,2024-02-12,2024-02-10,3,88,119,6.9,0.87,5,0,5,2,0
O100133,C0021,ITEM0125,PLANT_B,2024-07-23,2024-07-28,2024-07-30,2,102,372,6.8,0.74,13,0,1,7,0
O100134,C0364,ITEM0009,PLANT_A,2024-10-17,2024-10-21,2024-10-24,1,286,497,6.6,0.89,6,0,3,10,0
O100135,C0050,ITEM0072,PLANT_A,2024-04-20,2024-04-30,2024-04-28,2,174,443,8.3,0.74,6,0,5,4,1
O100136,C0230,ITEM0078,PLANT_A,2024-08-08,2024-08-14,2024-08-15,1,62,340,7.3,0.86,9,0,3,8,0
O100137,C0328,ITEM0056,PLANT_C,2024-01-12,2024-01-17,2024-01-18,3,478,324,5.5,0.78,18,0,4,1,1
O100138,C0041,ITEM0049,PLANT_B,2024-05-06,2024-05-11,2024-05-11,2,461,601,5.4,0.94,9,0,0,5,0
O100139,C0498,ITEM0101,PLANT_A,2024-06-08,2024-06-15,2024-06-16,2,291,366,7.6,0.84,18,1,5,6,0
O100140,C0189,ITEM0076,PLANT_A,2024-12-24,2024-12-30,2025-01-01,2,262,300,7.9,0.76,11,1,1,12,1
O100141,C0008,ITEM0059,PLANT_C,2024-03-19,2024-03-25,2024-03-25,2,404,602,6.4,0.97,2,0,1,3,0
O100142,C0330,ITEM0083,PLANT_A,2024-04-10,2024-04-16,2024-04-15,2,486,753,4.7,0.85,12,1,2,4,0
O100143,C0279,ITEM0069,PLANT_B,2024-05-29,2024-06-07,2024-06-08,2,52,84,9.5,0.87,18,0,2,5,0
O100144,C0321,ITEM0046,PLANT_B,2024-12-28,2025-01-07,2025-01-06,2,49,173,9.1,0.82,17,0,5,12,1
O100145,C0376,ITEM0091,PLANT_A,2024-11-07,2024-11-09,2024-11-10,3,165,204,3.0,0.99,4,0,3,11,0
O100146,C0238,ITEM0189,PLANT_A,2024-01-13,2024-01-24,2024-01-23,1,152,269,9.7,0.92,6,0,5,1,0
O100147,C0414,ITEM0102,PLANT_A,2024-03-26,2024-04-01,2024-04-02,2,447,732,6.6,0.85,13,0,1,3,0
O100148,C0186,ITEM0120,PLANT_A,2024-10-26,2024-10-30,2024-11-02,1,254,459,7.4,0.75,9,1,5,10,1
O100149,C0273,ITEM0197,PLANT_B,2024-01-22,2024-02-01,2024-01-31,2,405,320,9.3,1.0,16,0,0,1,1
O100150,C0080,ITEM0123,PLANT_C,2024-11-08,2024-11-19,2024-11-18,1,333,566,10.3,1.0,10,1,4,11,0
O100151,C0310,ITEM0045,PLANT_A,2024-04-12,2024-04-20,2024-04-21,3,362,425,9.0,1.0,5,0,4,4,1
O100152,C0131,ITEM0080,PLANT_B,2024-11-30,2024-12-09,2024-12-07,1,478,570,7.5,0.84,7,0,5,11,0
O100153,C0349,ITEM0098,PLANT_A,2024-04-17,2024-04-20,2024-04-21,2,294,151,4.2,0.86,3,1,2,4,1
O100154,C0401,ITEM0095,PLANT_A,2024-06-07,2024-06-11,2024-06-10,2,388,410,2.9,0.93,6,0,4,6,0
O100155,C0430,ITEM0030,PLANT_B,2024-08-29,2024-09-09,2024-09-07,2,135,86,8.8,0.83,15,0,3,8,0
O100156,C0465,ITEM0022,PLANT_B,2024-02-16,2024-02-26,2024-02-26,1,130,0,9.7,0.82,5,0,4,2,1
O100157,C0062,ITEM0070,PLANT_B,2024-07-22,2024-07-27,2024-07-27,3,293,518,5.4,1.0,9,1,0,7,1
O100158,C0069,ITEM0183,PLANT_A,2024-07-03,2024-07-09,2024-07-09,3,450,314,6.5,0.9,4,0,2,7,1
O100159,C0464,ITEM0144,PLANT_B,2024-10-13,2024-10-21,2024-10-19,2,26,184,5.9,0.81,10,1,6,10,0
O100160,C0191,ITEM0169,PLANT_A,2024-12-29,2025-01-04,2025-01-04,3,251,423,5.8,0.98,19,0,6,12,1
O100161,C0014,ITEM0035,PLANT_C,2024-08-30,2024-09-11,2024-09-08,2,101,207,9.1,0.85,15,0,4,8,0
O100162,C0144,ITEM0083,PLANT_B,2024-05-29,2024-06-06,2024-06-05,2,442,662,7.4,0.74,15,1,2,5,0
O100163,C0419,ITEM0117,PLANT_C,2024-05-28,2024-06-03,2024-06-04,3,259,115,6.5,0.81,5,0,1,5,1
O100164,C0178,ITEM0087,PLANT_A,2024-06-01,2024-06-12,2024-06-13,1,22,0,12.3,0.86,6,0,5,6,0
O100165,C0039,ITEM0084,PLANT_A,2024-10-24,2024-10-28,2024-10-28,2,1,226,4.1,0.92,2,0,3,10,0
O100166,C0362,ITEM0072,PLANT_B,2024-04-27,2024-05-02,2024-05-05,1,320,211,8.1,0.91,18,0,5,4,0
O100167,C0098,ITEM0011,PLANT_A,2024-03-01,2024-03-05,2024-03-06,2,116,65,4.9,1.0,19,0,4,3,0
O100168,C0177,ITEM0172,PLANT_B,2024-05-02,2024-05-08,2024-05-09,2,21,165,6.7,0.88,7,0,3,5,0
O100169,C0002,ITEM0187,PLANT_B,2024-01-09,2024-01-17,2024-01-16,3,76,143,7.3,0.86,14,0,1,1,0
O100170,C0301,ITEM0017,PLANT_C,2024-02-08,2024-02-20,2024-02-17,2,78,0,8.7,1.0,5,0,3,2,0
O100171,C0223,ITEM0083,PLANT_A,2024-02-02,2024-02-09,2024-02-08,3,173,89,6.5,0.98,13,1,4,2,1
O100172,C0434,ITEM0104,PLANT_C,2024-10-08,2024-10-11,2024-10-14,1,359,577,6.3,0.88,2,1,1,10,0
O100173,C0168,ITEM0157,PLANT_A,2024-09-20,2024-09-25,2024-09-26,2,429,489,6.4,0.92,7,0,4,9,1
O100174,C0103,ITEM0198,PLANT_A,2024-09-11,2024-09-16,2024-09-16,2,266,527,4.8,0.86,8,0,2,9,1
O100175,C0083,ITEM0084,PLANT_B,2024-06-17,2024-06-25,2024-06-25,1,473,554,8.3,0.81,19,0,0,6,0
O100176,C0101,ITEM0150,PLANT_A,2024-09-18,2024-09-28,2024-09-26,1,395,526,7.6,1.0,9,0,2,9,1
O100177,C0226,ITEM0188,PLANT_C,2024-02-28,2024-03-08,2024-03-07,2,83,53,7.9,0.86,5,0,2,2,0
O100178,C0044,ITEM0167,PLANT_C,2024-11-24,2024-12-02,2024-12-01,2,368,182,6.9,0.92,1,0,6,11,1
O100179,C0202,ITEM0059,PLANT_C,2024-07-01,2024-07-07,2024-07-08,2,116,168,6.6,0.78,4,0,0,7,0
O100180,C0428,ITEM0164,PLANT_C,2024-12-08,2024-12-19,2024-12-17,3,481,646,9.4,0.96,5,0,6,12,1
O100181,C0384,ITEM0083,PLANT_B,2024-02-25,2024-03-04,2024-03-05,2,423,426,9.0,0.8,7,0,6,2,0
O100182,C0319,ITEM0004,PLANT_A,2024-06-30,2024-07-11,2024-07-10,1,33,263,9.8,1.0,3,1,6,6,1
O100183,C0447,ITEM0152,PLANT_C,2024-09-11,2024-09-18,2024-09-19,1,87,235,7.7,1.0,15,0,2,9,0
O100184,C0391,ITEM0168,PLANT_A,2024-06-29,2024-07-07,2024-07-09,1,221,274,9.7,0.95,8,0,5,6,0
O100185,C0327,ITEM0069,PLANT_C,2024-06-11,2024-06-18,2024-06-17,2,370,441,6.2,0.91,5,0,1,6,1
O100186,C0432,ITEM0091,PLANT_A,2024-03-01,2024-03-10,2024-03-08,3,276,189,6.6,0.89,10,0,4,3,1
O100187,C0063,ITEM0073,PLANT_B,2024-05-19,2024-05-28,2024-05-28,2,43,282,9.4,0.9,6,0,6,5,0
O100188,C0410,ITEM0024,PLANT_A,2024-03-28,2024-04-08,2024-04-06,1,314,143,8.7,0.93,13,0,3,3,0
O100189,C0148,ITEM0199,PLANT_A,2024-04-20,2024-04-24,2024-04-26,2,324,148,6.4,0.91,11,0,5,4,1
O100190,C0367,ITEM0005,PLANT_A,2024-09-06,2024-09-09,2024-09-11,2,464,656,4.9,0.98,18,0,4,9,0
O100191,C0457,ITEM0112,PLANT_A,2024-08-18,2024-08-24,2024-08-25,2,133,0,6.6,0.83,13,0,6,8,1
O100192,C0249,ITEM0003,PLANT_A,2024-08-09,2024-08-14,2024-08-15,3,20,74,5.6,1.0,7,0,4,8,1
O100193,C0045,ITEM0138,PLANT_A,2024-05-12,2024-05-21,2024-05-22,2,375,269,10.4,0.87,3,0,6,5,1
O100194,C0186,ITEM0181,PLANT_A,2024-12-16,2024-12-25,2024-12-25,2,351,491,8.5,0.84,2,0,0,12,0
O100195,C0204,ITEM0129,PLANT_B,2024-02-01,2024-02-06,2024-02-06,3,260,119,5.5,0.93,13,0,3,2,1
O100196,C0469,ITEM0122,PLANT_A,2024-05-05,2024-05-09,2024-05-10,2,346,278,4.9,0.93,1,1,6,5,1
O100197,C0472,ITEM0166,PLANT_C,2024-02-13,2024-02-19,2024-02-18,3,90,152,5.4,0.76,8,0,1,2,1
O100198,C0285,ITEM0195,PLANT_A,2024-05-03,2024-05-08,2024-05-09,3,63,51,5.9,0.86,1,0,4,5,1
O100199,C0476,ITEM0173,PLANT_B,2024-12-17,2024-12-24,2024-12-24,2,201,101,6.7,0.73,7,1,1,12,1
O100200,C0219,ITEM0047,PLANT_A,2024-05-13,2024-05-21,2024-05-22,2,447,278,9.2,0.85,17,1,0,5,1
O100201,C0206,ITEM0113,PLANT_B,2024-11-27,2024-11-30,2024-12-02,3,257,65,5.1,0.85,2,0,2,11,0
O100202,C0419,ITEM0164,PLANT_B,2024-06-29,2024-07-12,2024-07-11,2,319,214,11.6,0.92,19,0,5,6,1
O100203,C0334,ITEM0059,PLANT_B,2024-09-12,2024-09-20,2024-09-17,2,497,438,5.1,0.84,19,0,3,9,1
O100204,C0262,ITEM0136,PLANT_A,2024-06-15,2024-06-21,2024-06-19,2,152,11,4.2,0.86,17,0,5,6,1
